region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-04-15,,"Vorfahrt für Art. 2 Abs. 2 GG: Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletztlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden."" Für eine freie Impfentscheidung",80.0,
Baden-Württemberg,Karlsruhe,2022-04-16,,Mach dich auf und werde Licht!,5.0,
Baden-Württemberg,Karlsruhe,2022-04-16,,"Für eine freie Impfentscheidung, Frieden, Freiheit und Selbstbestimmung. Wir fordern die sofortige Beendigung aller Corona-Maßnahmen",1750.0,
Baden-Württemberg,Karlsruhe,2022-04-16,,Evangelium,50.0,
Baden-Württemberg,Karlsruhe,2022-04-17,,Osterkundgebung: Mit Hoffnung durch den Frühling,200.0,
Baden-Württemberg,Karlsruhe,2022-04-18,,"Wir sagen NEIN zur einrichtungsbezogenen Impfpflicht! Sollte ein Betretungsverbot ausgesprochen werden, drohen in Karlsruhe und im Landkreis ca. 5000 Mitarbietern ihren Arbeitsplatz zu verlieren. Das darf nicht passieren, denn sonst wird es einen kolabs im Gesundheitswesen geben. Seite an Seite machen wir uns für das Gesundheitswesen stark. ",750.0,
Baden-Württemberg,Karlsruhe,2022-04-18,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-04-20,,Ampeldemo für Tierrechte,10.0,
Baden-Württemberg,Karlsruhe,2022-04-21,,Maskenfreie Feststellung,47.0,
Baden-Württemberg,Karlsruhe,2022-04-22,,20 Jahre Atomausstieg sind genug! Zurück zu Versorgungssicherheit und Klimaschutz!,30.0,
Baden-Württemberg,Karlsruhe,2022-04-22,,"Vorfahrt für “Art. 2 Abs. 2 GG: Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der
Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.“ Für eine freie
Impfentscheidung",75.0,
